id,route,latitude,longitude
1,1,2.991621393,101.7076052
2,1,2.991520998,101.7076131
3,1,2.990717144,101.7077001
4,1,2.990544661,101.7079239
5,1,2.990509737,101.7104568
6,1,2.990507255,101.7107351
7,1,2.990494674,101.7109699
8,1,2.990499809,101.7114782
9,1,2.990591638,101.7117963
10,1,2.991688617,101.7128898
11,1,2.991859864,101.7131284
12,1,2.99193432,101.7133993
13,1,2.991951693,101.714535
14,1,2.991991402,101.7148954
15,1,2.992031112,101.7157876
16,1,2.992043521,101.7176043
17,1,2.992080749,101.7177062
18,1,2.992085713,101.7179547
19,1,2.992197396,101.718074
20,1,2.993125608,101.7184692
21,1,2.996440013,101.7205277
22,1,2.997567247,101.7210578
23,1,2.999086804,101.7215621
24,1,2.999764092,101.7216751
25,1,3.000510844,101.7216229
26,1,3.001273069,101.7214649
27,1,3.001164658,101.7207028
28,1,3.00118634,101.7205508
29,1,3.000880622,101.7191808
30,1,3.000819912,101.7190614
31,1,3.000341064,101.7164548
32,1,2.999835079,101.7136022
33,1,2.999688985,101.7133166
34,1,2.999639526,101.7132315
35,1,2.999633329,101.7131425
36,1,2.999699033,101.7130706
37,1,2.999772467,101.7130519
38,1,3.00002037,101.7110625
39,1,3.000118556,101.7101419
40,1,3.00015426,101.7095162
41,1,3.000186989,101.7069688
42,1,3.000612462,101.7069866
43,1,3.002353035,101.7069866
44,1,3.00342118,101.7070552
45,1,3.004233445,101.7069211
46,1,3.004177404,101.70863
47,1,3.004187023,101.7093114
48,1,3.004107556,101.7094706
49,1,3.003935378,101.7095944
50,1,3.003674904,101.7096695
51,1,3.003389538,101.7096764
52,1,3.001899531,101.7096542
53,1,2.998896977,101.7095432
54,1,2.998580655,101.7095006
55,1,2.996232692,101.7090012
56,1,2.995365191,101.7087672
57,1,2.995054724,101.7083906
58,1,2.995023556,101.7076155
59,1,2.99502875,101.7074491
60,1,2.994794993,101.7072826
61,1,2.993454643,101.7072405
62,1,2.992193016,101.7075412
63,1,2.992006942,101.7075644
64,1,2.991754412,101.707601
65,1,2.991621393,101.7076052
66,2,2.991621393,101.7076052
67,2,2.991520998,101.7076131
68,2,2.990717144,101.7077001
69,2,2.990544661,101.7079239
